システム監査を実施することになり監査チームを編成しました。チームに参画する全ての監査人に対して、共通して求められる要件はどれでしょう。,監査対象からの独立性,艦さ対象システムの詳細な技術知識,監査対象となっている業務の実務経験,監査対象部署の問題点に対する改善能力,0,1
10進数の演算式7÷32の結果を2進数で表したものはどれか,0.001011,0.001101,0.00111,0.0111,2,2
最上位をパリティビットとする8ビット符号において、パリティビット以外の下位7ビットを得るためのビット演算はどれか,16進数0FとのANDをとる,16進数0FとのORをとる,16進数7FとのANDをとる,16進数FFとのXOR(排他的論理和)をとる,2,2
機械学習における教師あり学習の説明として、最も適切なものはどれか。,個々の行動に対しての善しあしを得点として与えることによって、得点が最も多く得られるような方策を学習する。,コンピュータの利用者の挙動データを蓄積し、挙動データの出現頻度に従って次の挙動を推論する。,正解のデータを提示したり、データが誤りであることを指摘したりすることによって、未知のデータに対して正誤を得ることを助ける。,正解のデータを提示せずに、統計的性質や、ある種の条件によって入力パターンを判定したり、クラスタリングしたりする。,1,2
複数のプロセスから同時に呼び出されたときに、互いに干渉することなく並行して動作することができるプログラムの性質を表すものはどれか。,リエントラント,リカ―シブ,リユーザブル,リロケータブル,0,2
外部割込みの原因となるものはどれか,ゼロによる除算命令の実行,存在しない命令コードの実行,タイマによる時間経過の通知,ページフォールトの発生,2,2
96dpiのディスプレイに12ポイントの文字をビットマップで表示したい。正方形フォントの縦は何ドットになるか。ここで、1ポイントは1/72インチとする。,8,9,12,16,3,2
3Dプリントの機能の説明として、適切なものはどれか。,高温の印字ヘッドのピンを感熱紙に押し付けることによって印刷を行う,コンピュータグラフィックスを建物、家具など凹凸のある立体物に投影する。,熱溶解積層方式などによって、立体物を造形する,立体物の形状を感知して、3Dデータとして出力する,2,2
几長構成におけるデュアルシステムの説明として、適切なものはどれか,２系統のシステムで並列処理をすることによって性能を上げる方式である。,２系統のシステムの負荷が均等になるように、処理を分散する方式である。,現用系と待機系の２系統のシステムで構成され、現用系に障害が生じたときに待機系が処理を受け継ぐ方式である。,１つの処理を２系統のシステムで独立に行い、結果を照合する方式である。,3,2
タスクのディスパッチ実行順序を決定すること,各タスクの実行順序を決定すること,実行可能なタスクに対してプロセッサの使用権を割り当てること,タスクの実行に必要な情報であるコンテキストのこと,１つのプロセッサで複数のタスクを同時に実行しているかのように見せかける機能のこと,1,2
デバイスドライバの説明として、適切なものはどれか,PCに接続された周辺機器を制御するソフトウェア,アプリケーションプログラムをPCに導入するソフトウェア,キーボードなどの操作手順を登録して、その操作を自動化するソフトウェア,他のPCに入り込んで不利益をもたらすソフトウェア,0,2
データ検索時に使用される、理想的なハッシュ法の説明として、適切なものはどれか,キーワード検索のヒット率を高めることを目的に作成した、一種の同義語・類義語リストを用いることによって、検索漏れを防ぐ技術である,蓄積されている膨大なデータをを検索し、経営やマーケティングにとって必要な傾向、相対関係、パターンなどを導き出すための技術や手法である,データとそれに対する処理は組み合わせたオブジェクトに、認識や判断の機能を加え、利用者の検索要求に対して、その意図を判断する高度な検索技術である,データを特定のアルゴリズムによって変換した値を格納アドレスとして用いる、高速でスケーラビリティの高いデータ検索技術である,3,2
インタプリタの説明として、適切なものはどれか,原始プログラムを解釈しながら実行するプログラムである,原始プログラムを推論しながら翻訳するプログラムである,原始プログラムを目的プログラムに翻訳プログラムである,実行可能なプログラムを、主記憶装置にロードするプログラムである。,0,2
OSIによるオープンソースソフトウェアの定義に従うときのオープンソースソフトウェアに対する取扱いとして、適切なものはどれか。,ある特定の業界向けに作成されたオープンソースソフトウェアは、ソースコードを公開する範囲をその業界に限定することができる,オープンソースソフトウェアを改変して再配布する場合、元のソフトウェアと同じ配布条件となるように、同じライセンスを適応して配布する必要がある,オープンソースソフトウェアを第三者が製品として再配布する場合、オープンソースソフトウェアの開発者は第三者に対してライセンス費を請求することができる,社内での利用などのようにオープンソースソフトウェアを改変しても再配布しない場合、改変部分のソースコードを公開しなくてもよい,3,2
メモリセルにフリップフロップ回路を利用したものはどれか,DRAM,EEPROM,SDRAM,ARAM,3,2
